,Setpoints,Energy,Temperatures,Basic money,Money,Comfort violations
14014,20,192885.935080852,19.997743893720997,77154.37403234081,52491.97837290307,0.0022561062790025233
14015,17,0.0,19.595537705527697,0.0,0.0,0.0
14016,17,0.0,19.465587021246925,0.0,0.0,0.0
14017,17,0.0,19.35242426640337,0.0,0.0,0.0
14018,17,0.0,19.246433206100775,0.0,0.0,0.0
14019,17,0.0,19.142931230812138,0.0,0.0,0.0
14020,17,0.0,19.04140492586574,0.0,0.0,0.0
14021,20,466276.0548593911,19.88874313303028,93255.21097187823,122667.90451240861,0.0
14022,20,429053.00414680445,20.010516020747943,85810.60082936089,122323.01148225396,0.0
14023,20,368512.70009482576,20.01898607760678,73702.54001896516,102932.96739048674,0.0
14024,20,320599.87640497123,20.01499985316248,128239.9505619885,94903.97541339959,0.0
14025,20,279422.2189247023,20.01313099750444,111768.88756988093,83172.81768512688,0.0
14026,20,244000.09696535263,20.011386486189473,97600.03878614106,69535.14763318619,0.0
14027,20,212395.45175057996,20.010254864659093,84958.18070023198,56926.22897819044,0.0
14028,20,193697.44303838836,20.00592075583797,77478.97721535535,49613.66305985279,0.0
14029,20,181079.5058095962,20.00405067775017,72431.80232383848,46504.83868202049,0.0
14030,20,171078.008671278,20.003244452151844,68431.2034685112,43826.764261407996,0.0
14031,20,165253.89104008436,20.00185143816675,66101.55641603375,47166.76558066088,0.0
14032,20,167321.72834866666,19.999195914618838,66928.69133946666,50638.24786744048,0.0008040853811621673
14033,20,184559.0135361805,19.994072207876933,110735.40812170829,61421.23970484086,0.005927792123067377
14034,20,196991.13231458364,19.99593764560848,118194.67938875017,63309.01010326089,0.004062354391521694
14035,20,192946.32193982453,20.001532646446048,115767.79316389472,56571.861592756555,0.0
14036,20,192727.09009341968,19.999988838640228,115636.25405605181,53736.16725984728,1.1161359772415835e-05
14037,20,196239.31363064767,19.998786558523246,78495.72545225907,52344.87451783895,0.0012134414767537294
14038,20,197214.93749766707,19.999708651539255,78885.97499906684,49658.72126191257,0.0002913484607454109
14039,17,0.0,19.60176774891483,0.0,0.0,0.0
14040,17,0.0,19.487469078333564,0.0,0.0,0.0
14041,17,0.0,19.37753403425239,0.0,0.0,0.0
14042,17,0.0,19.257980088704272,0.0,0.0,0.0
14043,17,0.0,19.147525285574844,0.0,0.0,0.0
14044,17,0.0,19.037555595934517,0.0,0.0,0.0
14045,20,469694.0503703856,19.888634944774708,93938.81007407712,105681.16133333676,0.0
14046,20,440021.0412109164,20.007960653374333,88004.20824218329,105622.65073226838,0.0
14047,20,389576.15815284115,20.01561570508727,77915.23163056823,93537.23557249716,0.0
14048,20,352918.8920600277,20.011248465179758,141167.5568240111,103645.22022018893,0.0
14049,20,315682.8946854978,20.011914184218025,126273.15787419913,86061.4707491604,0.0
14050,20,276825.31350559514,20.012608488424302,110730.12540223806,77511.08778156665,0.0
14051,20,248811.76375540762,20.008958681968664,99524.70550216305,68463.04491493797,0.0
14052,20,224667.4941807087,20.007857748714468,89866.99767228348,65859.02924413295,0.0
14053,20,211805.68916496108,20.00404969189631,84722.27566598443,61974.34464966762,0.0
14054,20,205353.70415932464,20.0020257143534,82141.48166372986,57511.358386860455,0.0
14055,20,205024.93606699732,20.000004493438837,82009.97442679893,49222.38665096471,0.0
14056,20,215276.4883310786,19.996441781454052,86110.59533243145,62326.84890161388,0.0035582185459475113
